Rank,Artist,Title,Highest rank,Weeks lasted
79,Jake Owen,Homemade,39 Peak Rank,14 Weeks on Chart
80,Regard,Ride It.,80 Peak Rank,3 Weeks on Chart
81,Keith Urban,God Whispered Your Name,81 Peak Rank,2 Weeks on Chart
82,Scotty McCreery,In Between,82 Peak Rank,3 Weeks on Chart
83,YoungBoy Never Broke Again,Ain't Easy,83 Peak Rank,1 Weeks on Chart
84,StaySolidRocky,Party Girl,84 Peak Rank,1 Weeks on Chart
85,Maddie & Tae,Die From A Broken Heart,80 Peak Rank,3 Weeks on Chart
86,YoungBoy Never Broke Again,Diamonds,86 Peak Rank,1 Weeks on Chart
87,Lil Uzi Vert,Myron,13 Peak Rank,7 Weeks on Chart
88,Noah Cyrus & Leon Bridges,July,85 Peak Rank,9 Weeks on Chart
89,Megan Thee Stallion,Captain Hook,74 Peak Rank,4 Weeks on Chart
90,YoungBoy Never Broke Again Featuring Sherhonda Gaulden,Bout My Business,90 Peak Rank,1 Weeks on Chart
91,Lil Uzi Vert,That Way,20 Peak Rank,9 Weeks on Chart
92,YoungBoy Never Broke Again,Rough Ryder,92 Peak Rank,1 Weeks on Chart
93,Jhene Aiko Featuring H.E.R.,B.S.,24 Peak Rank,6 Weeks on Chart
94,Alicia Keys,Underdog,69 Peak Rank,5 Weeks on Chart
95,Florida Georgia Line,I Love My Country,81 Peak Rank,2 Weeks on Chart
96,DaBaby Featuring Ashanti & Megan Thee Stallion,NASTY,50 Peak Rank,2 Weeks on Chart
97,Carrie Underwood,Drinking Alone,97 Peak Rank,1 Weeks on Chart
98,"G Herbo Featuring Chance The Rapper, Juice WRLD & Lil Uzi Vert",PTSD,38 Peak Rank,5 Weeks on Chart
99,YoungBoy Never Broke Again Featuring DaBaby,Thug Of Spades,99 Peak Rank,1 Weeks on Chart
100,"Bad Bunny, Jowell & Randy & Nengo Flow",Safaera,81 Peak Rank,7 Weeks on Chart
